1	-40.8899
2	-38.1764
3	-35.8544
4	-33.3028
5	-31.0168
6	-27.5414
7	-25.1425
8	-22.918
9	-19.784
10	-16.9431
11	-15.3556
12	-12.939
13	-9.90454
14	-6.72194
15	-4.24979
16	-0.78096
17	0.46689
18	3.56215
19	6.59663
20	8.65297
21	11.3702
22	14.0303
23	16.2209
24	17.9401
25	19.8608
26	21.2122
27	24.7499
28	27.7272
29	30.7077
30	32.876
31	36.8434
32	39.0025
33	36.6764
34	35.1189
35	32.0553
36	27.7932
37	25.2528
38	23.1203
39	19.9193
40	16.7958
41	15.5078
42	13.1477
43	10.7536
44	8.99591
45	6.0507
46	4.10569
47	2.00998
48	0.2888
49	-0.23116
50	-3.24979
51	-5.59808
52	-8.57592
53	-10.536
54	-13.8429
55	-17.0856
56	-19.7462
57	-22.579
58	-24.1001
59	-26.0413
60	-29.8712
61	-33.1429
62	-35.3786
63	-37.144
64	-39.5604
